customer_id,email,country_code,created_at,updated_at,deleted_at
cus_24554724acbf4506,samuel87@example.org,ES,2026-01-30T08:34:53Z,2026-01-30T08:34:53Z,
cus_e895631919c3491d,jeffreymorgan@example.net,AU,2026-03-20T18:30:46Z,2026-03-20T18:30:46Z,
cus_420b937dbb424eaa,briannasmith@example.net,GB,2025-10-18T22:56:11Z,2025-10-18T22:56:11Z,
cus_55147de1b8974620,perezrebecca@example.com,BR,2025-10-19T10:11:33Z,2025-10-19T10:11:33Z,
cus_ce9187fff7674b9a,palmerjoshua@example.com,DE,2024-08-06T11:28:46Z,2024-08-06T11:28:46Z,
cus_0c5c8421766343de,ambercummings@example.net,NG,2024-03-14T06:19:33Z,2024-03-14T06:19:33Z,
cus_ead1fef7accd4e89,esanchez@example.com,CA,2025-08-15T07:14:10Z,2025-08-15T07:14:10Z,
cus_5802cab1967b454d,clintonhopkins@example.com,BR,2025-08-03T16:38:20Z,2025-08-03T16:38:20Z,
cus_79c25517a5c64fd8,ujenkins@example.org,FR,2025-10-10T04:25:29Z,2025-10-10T04:25:29Z,
cus_97f67df178f34463,brownjessica@example.org,FR,2024-03-16T13:46:03Z,2024-03-16T13:46:03Z,
cus_922534213065438f,jamesherrera@example.org,CA,2025-07-02T03:17:33Z,2025-07-02T03:17:33Z,
cus_9c2580ad4e3c4a4b,dwhite@example.org,GB,2024-04-02T10:19:41Z,2024-04-02T10:19:41Z,
cus_e6365f54716947e2,ramosmichelle@example.net,GB,2024-08-08T07:28:44Z,2024-08-08T07:28:44Z,
cus_5ee51625a1224ab5,williamsyvette@example.org,SG,2026-01-25T18:39:55Z,2026-01-25T18:39:55Z,
cus_70ec6428db774ac2,housemelinda@example.org,BR,2024-05-20T10:51:29Z,2024-05-20T10:51:29Z,
cus_26aa3acb5878458c,ntucker@example.com,US,2024-07-26T17:24:47Z,2024-07-26T17:24:47Z,
cus_d6e35107036e4526,martinaaron@example.com,GB,2025-10-03T08:30:28Z,2025-10-03T08:30:28Z,
cus_bae5eec4cf67455a,sara74@example.com,SG,2024-02-09T19:02:08Z,2024-02-09T19:02:08Z,
cus_545e566a80294954,smoore@example.org,DE,2026-02-16T14:05:53Z,2026-02-16T14:05:53Z,
cus_88ba822c88704fab,rileyamy@example.net,NG,2024-01-02T06:33:10Z,2024-01-02T06:33:10Z,
cus_e075d16f596f4fdb,brian97@example.net,FR,2026-02-01T11:03:44Z,2026-02-01T11:03:44Z,
cus_9fb9a909d1bd460a,brianromero@example.org,GB,2024-03-08T13:34:17Z,2024-03-08T13:34:17Z,
cus_ccde10877a0e4afd,larsonemma@example.org,BR,2024-06-30T01:00:39Z,2024-06-30T01:00:39Z,
cus_08649edf0db34faa,kwilson@example.org,SG,2025-11-08T02:29:48Z,2025-11-08T02:29:48Z,
cus_fd0d663a061a4362,harveyrobert@example.net,BR,2024-09-11T17:33:36Z,2024-09-11T17:33:36Z,
cus_bbe017a95b75483c,sarah35@example.org,ES,2024-01-14T18:34:10Z,2024-01-14T18:34:10Z,
cus_770d8b455ae640b0,randy47@example.com,FR,2025-05-26T09:37:31Z,2025-05-26T09:37:31Z,
cus_9bde56e460554d7d,smithchristine@example.net,US,2025-06-13T04:27:41Z,2025-06-13T04:27:41Z,
cus_d68bcd66771b445c,jonesjason@example.com,US,2025-09-21T12:25:29Z,2025-09-21T12:25:29Z,
cus_dec49ff92b004c9a,sarahibarra@example.org,JP,2025-08-02T19:20:43Z,2025-08-02T19:20:43Z,
cus_22cdf262e3c848bb,justin78@example.net,ES,2025-11-09T16:54:31Z,2025-11-09T16:54:31Z,
cus_0bc0a12a616a4638,cheryl80@example.net,US,2024-08-05T16:23:20Z,2024-08-05T16:23:20Z,
cus_cb87616afe3f4d6a,sarah12@example.com,FR,2024-09-17T20:57:39Z,2024-09-17T20:57:39Z,
cus_9994e0d6bc6048f9,prestonjulia@example.org,JP,2026-04-02T09:53:22Z,2026-04-02T09:53:22Z,
cus_3a5a678c63e54e84,juan35@example.org,CA,2024-01-18T09:08:46Z,2024-01-18T09:08:46Z,
cus_f4c3509f935342d3,william40@example.org,FR,2024-01-12T11:45:33Z,2024-01-12T11:45:33Z,
cus_36c3f73a144946c8,ccalderon@example.org,SG,2026-04-10T04:12:09Z,2026-04-10T04:12:09Z,
cus_82a08ac2fccb4877,kellie42@example.net,JP,2025-12-04T20:06:15Z,2025-12-04T20:06:15Z,
cus_9e911f1bdf7042a1,barnold@example.net,FR,2024-06-16T06:00:03Z,2024-06-16T06:00:03Z,
cus_c89c28c985d54aed,rodriguezsierra@example.net,DE,2025-12-12T13:42:07Z,2025-12-12T13:42:07Z,
cus_667156fe0e0e4077,amydavenport@example.net,DE,2024-07-30T08:32:24Z,2024-07-30T08:32:24Z,
cus_bf12ad9e580648c0,russellwilliams@example.com,DE,2026-04-27T01:00:00Z,2026-04-27T01:00:00Z,
cus_424c75171fe249b7,nolanjason@example.org,BR,2024-10-15T01:31:12Z,2024-10-15T01:31:12Z,
cus_f0120b6a224e43c2,gomezanita@example.com,AU,2024-04-18T22:10:48Z,2024-04-18T22:10:48Z,
cus_99b235d7c8074db5,sarayoung@example.org,AU,2024-11-01T04:03:24Z,2024-11-01T04:03:24Z,
cus_d00cf7e36741440e,nicolejohnson@example.net,FR,2026-04-26T05:45:50Z,2026-04-26T05:45:50Z,
cus_07a1d28964094343,kimberly63@example.com,DE,2026-06-03T20:41:59Z,2026-06-03T20:41:59Z,
cus_2e66ba8c2f2a4db1,kristinrodriguez@example.org,NG,2025-07-27T22:19:15Z,2025-07-27T22:19:15Z,
cus_8c5fe3cc79f24b79,dwalker@example.com,AU,2026-04-09T09:21:48Z,2026-04-09T09:21:48Z,
cus_f2dfd58329ef4f95,lori33@example.org,CA,2026-01-04T19:14:08Z,2026-01-04T19:14:08Z,
cus_ddbf5978264b4908,raymondramirez@example.org,GB,2024-11-23T18:31:59Z,2024-11-23T18:31:59Z,
cus_c81a91cd9a0b414a,michael86@example.net,GB,2025-02-14T18:06:24Z,2025-02-14T18:06:24Z,
cus_0d1d5a9c932f4685,sheila14@example.org,BR,2024-12-01T07:18:36Z,2024-12-01T07:18:36Z,
cus_bc6fb623b7714cda,benjamin96@example.com,NG,2024-05-05T23:58:45Z,2024-05-05T23:58:45Z,
cus_8913d204e28d4303,samuel81@example.com,SG,2025-01-23T17:11:06Z,2025-01-23T17:11:06Z,
cus_a8b38ed4bb00478c,jonathanfletcher@example.org,DE,2025-02-17T20:25:24Z,2025-02-17T20:25:24Z,
cus_0611b217207548d6,michaeljones@example.net,SG,2023-10-30T03:47:19Z,2023-10-30T03:47:19Z,
cus_e90c3aace62c4260,cindy14@example.net,AU,2026-06-06T14:58:43Z,2026-06-06T14:58:43Z,
cus_a16340e63b6a497e,elizabeth56@example.net,DE,2024-03-19T00:03:16Z,2024-03-19T00:03:16Z,
cus_0936c339a7fc4396,angela36@example.net,GB,2026-01-27T20:56:48Z,2026-01-27T20:56:48Z,
cus_9853aba2933646f2,lbyrd@example.net,US,2025-12-09T13:13:54Z,2025-12-09T13:13:54Z,
cus_48d0efcb14ec43f3,richard04@example.com,CA,2024-05-08T10:49:19Z,2024-05-08T10:49:19Z,
cus_fdea978ff3834a32,russellcarpenter@example.net,GB,2024-01-30T13:12:33Z,2024-01-30T13:12:33Z,
cus_be6af78bd27141ff,steven73@example.net,US,2025-05-11T17:27:06Z,2025-05-11T17:27:06Z,
cus_ef39cc91a6654dad,yleon@example.net,SG,2024-06-16T17:42:41Z,2024-06-16T17:42:41Z,
cus_88cc5375e2a34d8a,donnacampbell@example.net,US,2026-02-05T13:07:00Z,2026-02-05T13:07:00Z,
cus_cf9e6aaa9abd4111,clarence34@example.org,NG,2026-05-22T21:28:59Z,2026-05-22T21:28:59Z,
cus_904296edffa44235,dylanwilliams@example.com,FR,2026-01-14T08:49:18Z,2026-01-14T08:49:18Z,
