payment_method_id,customer_id,type,brand,last4,token,fingerprint,exp_month,exp_year,is_default,created_at
pm_734966833d524fab,cus_24554724acbf4506,bank_transfer,,,tok_52e802465aa84de0a18bc2a1,,,,True,2024-11-14T03:17:58Z
pm_bd4d7b963e0a4c98,cus_24554724acbf4506,card,amex,6389,tok_f5770c3c39e443b6b831b276,705b605d3a78465c9c4b,7,2030,False,2025-08-26T07:11:07Z
pm_4841e52b2ddd47ad,cus_e895631919c3491d,bank_transfer,,,tok_8ae5c9e8a60e4877aadc9f4f,,,,True,2024-07-12T23:37:21Z
pm_22e450b2c2674a0a,cus_e895631919c3491d,card,amex,0475,tok_e0d1a032c81a4285ac932e3f,3c84226aae794d0da3b4,7,2028,False,2025-06-26T05:11:28Z
pm_4fb8227d58f94f65,cus_420b937dbb424eaa,card,mastercard,2091,tok_295597402012466ab17674ae,0884367348d84ce4b736,10,2030,True,2024-02-13T15:10:27Z
pm_baa6ccdb772f4a65,cus_420b937dbb424eaa,wallet,paypal,,tok_c649d5baa0154bae838efd0d,,,,False,2025-04-06T01:30:44Z
pm_6d62b16aa5b04f02,cus_55147de1b8974620,card,discover,7564,tok_a02665b6985d4cddbfd5eaa8,bad7783570604006af87,3,2026,True,2024-08-12T18:08:54Z
pm_c15ca660536c4e57,cus_55147de1b8974620,card,mastercard,5529,tok_34c1627f99da4efeabb74a4a,bd5a908cd7aa4a3a9931,7,2028,False,2025-08-29T18:57:44Z
pm_4345918a024a414b,cus_ce9187fff7674b9a,card,visa,8837,tok_d685b7cdb6494d6687b7375a,371929aa140b4c738662,1,2028,True,2024-07-15T20:17:14Z
pm_46978bd3c4194d64,cus_ce9187fff7674b9a,card,visa,4051,tok_7e6e9ab204e54c0c980e36fd,f29cd1f325e043399ea4,4,2026,False,2025-05-20T07:01:10Z
pm_743f46055092468a,cus_ce9187fff7674b9a,card,mastercard,1874,tok_b16a4f32b2524df6b1f7a89a,010bebb86bc6493284ee,10,2027,False,2025-01-18T21:20:42Z
pm_1c808c2d45c143eb,cus_0c5c8421766343de,bank_transfer,,,tok_150e7e570b8a41ada07e2829,,,,True,2024-06-02T00:17:58Z
